task_id,department,asset_id,section,location_km,task_type,severity,safety_critical,due_date,estimated_duration_hours,status,days_until_due,urgency_score,severity_score,safety_score,importance,asset_importance_score,priority_score
M078,Traction,AST092,S13,1.7,OHE Component Repair,High,Yes,2026-08-28,1.5,Overdue,-10,20,7,10,High,10,104.5
M209,S&T,AST064,S18,12.1,Interlocking Maintenance,Critical,Yes,2026-08-30,1.0,Pending,-8,18,10,10,High,10,102.0
M052,S&T,AST054,S18,17.9,Signal Inspection,Critical,Yes,2026-08-31,1.5,Pending,-7,17,10,10,High,10,100.5
M142,S&T,AST046,S05,5.1,Cable Inspection,Critical,Yes,2026-08-28,2.0,Pending,-10,20,10,10,Medium,6,99.0
M232,Engineering,AST015,S13,4.0,Track Geometry Correction,Critical,Yes,2026-08-30,1.0,Pending,-8,18,10,10,Medium,6,96.0
M243,S&T,AST046,S05,5.1,Signal Inspection,High,Yes,2026-08-31,1.0,Overdue,-7,17,7,10,Medium,6,94.0
M072,S&T,AST049,S08,4.2,Signal Inspection,Critical,Yes,2026-09-03,1.0,Pending,-4,14,10,10,Medium,6,90.0
M143,Traction,AST097,S13,2.6,Transformer Inspection,Critical,Yes,2026-09-07,2.0,Pending,0,10,10,10,High,10,90.0
M288,S&T,AST048,S02,8.7,Interlocking Maintenance,High,Yes,2026-08-31,2.0,Pending,-7,17,7,10,High,10,90.0
M224,Engineering,AST032,S06,13.9,Point Maintenance,Critical,Yes,2026-09-07,1.0,Overdue,0,10,10,10,Low,3,89.5
M138,S&T,AST039,S03,3.7,Axle Counter Testing,High,Yes,2026-08-31,1.0,Overdue,-7,17,7,10,Low,3,89.5
M175,S&T,AST065,S03,5.7,Signal Inspection,High,Yes,2026-09-01,1.5,Pending,-6,16,7,10,High,10,88.5
M279,Traction,AST092,S13,1.7,Pantograph Clearance Check,Critical,Yes,2026-09-09,2.0,Pending,2,8,10,10,High,10,87.0
M179,S&T,AST053,S10,8.5,Cable Inspection,Critical,Yes,2026-09-02,2.5,Pending,-5,15,10,10,Low,3,87.0
M104,Traction,AST069,S18,6.5,Pantograph Clearance Check,High,Yes,2026-09-02,2.0,Overdue,-5,15,7,10,Low,3,86.5
M191,S&T,AST061,S11,3.7,Axle Counter Testing,High,Yes,2026-09-03,2.0,Pending,-4,14,7,10,High,10,85.5
M083,Engineering,AST023,S11,4.1,Point Maintenance,Critical,Yes,2026-09-10,1.5,Pending,3,7,10,10,High,10,85.5
M003,S&T,AST063,S15,25.5,Axle Counter Testing,High,Yes,2026-09-10,2.0,Overdue,3,7,7,10,High,10,85.0
M089,Traction,AST080,S05,24.1,Sectioning Equipment Check,Critical,Yes,2026-09-25,2.5,Overdue,18,0,10,10,High,10,85.0
M126,S&T,AST050,S13,1.4,Axle Counter Testing,High,Yes,2026-09-04,1.0,Pending,-3,13,7,10,High,10,84.0
M268,S&T,AST061,S11,3.7,Interlocking Maintenance,High,Yes,2026-09-05,2.0,Pending,-2,12,7,10,High,10,82.5
M112,S&T,AST038,S02,0.6,Signal Inspection,High,Yes,2026-09-07,1.5,Pending,0,10,7,10,High,10,79.5
M105,Engineering,AST016,S08,5.8,Track Geometry Correction,Critical,Yes,2026-10-03,1.0,Overdue,26,0,10,10,Medium,6,79.0
M180,Engineering,AST012,S18,16.4,Track Geometry Correction,Medium,No,2026-08-29,1.5,Overdue,-9,19,5,3,High,10,78.5
M088,Engineering,AST006,S19,21.1,Ballast Inspection,High,Yes,2026-09-09,2.0,Pending,2,8,7,10,High,10,76.5
M149,S&T,AST038,S02,0.6,Signal Inspection,High,No,2026-09-04,1.0,Overdue,-3,13,7,3,High,10,76.5
M139,S&T,AST050,S13,1.4,Signal Fault Repair,Critical,Yes,2026-09-18,2.0,Pending,11,0,10,10,High,10,75.0
M132,S&T,AST048,S02,8.7,Interlocking Maintenance,Critical,Yes,2026-09-20,2.0,Pending,13,0,10,10,High,10,75.0
M283,Traction,AST082,S14,11.6,Pantograph Clearance Check,High,Yes,2026-09-10,2.0,Pending,3,7,7,10,High,10,75.0
M168,Engineering,AST010,S03,9.8,Ballast Inspection,High,Yes,2026-09-10,1.0,Overdue,3,7,7,10,Low,3,74.5
M079,S&T,AST065,S03,5.7,Axle Counter Testing,High,Yes,2026-09-18,2.0,Overdue,11,0,7,10,High,10,74.5
M125,Traction,AST100,S01,7.3,Transformer Inspection,High,Yes,2026-09-13,2.0,Overdue,6,4,7,10,Medium,6,74.5
M059,Engineering,AST003,S12,13.0,Rail Crack Repair,Medium,No,2026-09-01,1.5,Overdue,-6,16,5,3,High,10,74.0
M071,Traction,AST073,S05,27.3,Transformer Inspection,Medium,No,2026-09-03,1.5,Overdue,-4,14,5,3,High,10,71.0
